item,sku,category,unit,count_unit,conversion_factor,pack_size,pack_kind,current_unit,current_count_unit,latest_cost_cents
HERRADURA PLATA 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,7282
HERRADURA REPOSADO 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,8433
HERRADURA SELECCION SUPREMA 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,49624
HERRADURA ULTRA 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,11847
Hominy Corn 3kg Carey,,Dry / Pantry,each,each,1,,,kg,,1495
HONEY PURE 3KG (Wild Flower) EA (4),,Oils & Condiments,each,each,1,,each,kg,,2030
ILEGAL ANEJO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,14906
ILEGAL JOVEN 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,9578
ILEGAL REPOSADO 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,11586
JACK DANIELS 700ML BOTTLE,,Spirits — Other,bottle,bottle,1,,,ml,,5182
LAGRIMAS DE DOLORES JOVEN 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,10883
La Violetta 'Up!' Shiraz,,Wine — Red,bottle,bottle,1,,,ml,,2400
Lemon,,Produce,each,each,1,,,units,,0
Lemon Oil,,Oils & Condiments,each,each,1,,,ml,,1100
Lettuce Baby Gem 20s Box,,Produce,each,each,1,,,units,,3800
Lettuce Iceberg Each,,Produce,each,each,1,,each,units,,225
LICOR 43 700ML BOTTLE,,Liqueurs & Aperitifs,bottle,bottle,1,,,ml,,5161
LYRES AGAVE BLANCO 700ML BOTTLE,,Non-Alcoholic & Mixers,bottle,bottle,1,,,ml,,21114
MARJORAM bunch,,Produce,bunch,bunch,1,,,units,,260
MAYONNAISE WHOLE EGG 10KG (Birch & Waite) EA,,Oils & Condiments,each,each,1,,each,kg,,9200
MAYONNAISE WHOLE EGG 15KG (Birch & Waite) EA,,Oils & Condiments,each,each,1,,each,kg,,11700
Mesculin Gold Mix 1.5kg Box,,Produce,each,each,1,,,g,,2800
Mexican Oregano - 250g,,Herbs & Spices,each,each,1,,,g,,1770
MILAGRO SILVER 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,6515
MIXED BERRIES WHOLE FROZEN 1KG (Harvestime) EA (10),,Frozen,each,each,1,,each,kg,,950
MODELO ESPECIAL - (CASE OF 24),,Beer & Cider,case,bottle,24,24,case,units,,6737
MODUS CERVEZA CAN - (CASE OF 12),,Beer & Cider,case,can,12,12,case,units,,2981
Mushrooms Shitaki Punnet 500gm,,Produce,punnet,punnet,1,,,g,,0
MUSTARD DIJON 215GM (Maille) EA (6),,Oils & Condiments,each,each,1,,each,g,,600
NECTAR AGAVE ORGANIC 4LT (Chefs Choice) EA (2),,Oils & Condiments,each,each,1,,each,g,,4800
NUESTRA SOLEDAD LA CAMPANIA EJUTLA 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,8883
